date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:36	27587/27587	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:37%20GMT	https://www.una.edu/purchasing/university-print-shop.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/university-print-shop.html	(from )
14:13:37	179/179	---M--	200	added ('OK')	text/plain	etag:%22b3-556f6a5e05678%22	https://www.una.edu/robots.txt		(from )
14:13:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2001%20Feb%202018%2020:13:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/UNA%20WEB/UNA/www.googletagmanager.com/gtm.15445.delayed	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:37	231/231	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.una.edu/images/xfavicon.png.pagespeed.ic.G_yhM-VEyL.png	D:/UNA%20WEB/UNA/www.una.edu/images/xfavicon.png.pagespeed.ic.G_yhM-VEyL.png	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:38	329780/329780	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-aj-7UKqD4tLMG%22	https://www.una.edu/images/shared.png	D:/UNA%20WEB/UNA/www.una.edu/images/shared.jpg	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:38	122540/122540	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202017%2000:35:37%20GMT	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.5/css/bootstrap.min.css	D:/UNA%20WEB/UNA/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.5/css/bootstrap.min.css	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:38	26711/26711	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202017%2000:29:23%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css	D:/UNA%20WEB/UNA/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:38	15050/15050	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	https://www.una.edu/css/A.lion-styles.css.pagespeed.cf.4wc8TQvdXs.css	D:/UNA%20WEB/UNA/www.una.edu/css/A.lion-styles.css.pagespeed.cf.4wc8TQvdXs.css	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:38	28904/28904	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:39%20GMT	https://www.una.edu/purchasing/index.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/index.html	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:39	27013/27013	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:40%20GMT	https://www.una.edu/purchasing/procurement-policy.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/procurement-policy.html	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:39	28091/28091	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:40%20GMT	https://www.una.edu/purchasing/purchase-order-process.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/purchase-order-process.html	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:39	27113/27113	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:40%20GMT	https://www.una.edu/purchasing/online-requisition-instructions.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/online-requisition-instructions.html	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:39	28516/28516	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:40%20GMT	https://www.una.edu/purchasing/bid-process.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/bid-process.html	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:40	1070343/1070343	---M--	200	added ('OK')	application/pdf	etag:%22105507-55d874504e39e%22	https://www.una.edu/purchasing/UNA_PCARD_Policy_110414.pdf	D:/UNA%20WEB/UNA/www.una.edu/purchasing/UNA_PCARD_Policy_110414.pdf	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:40	27306/27306	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:41%20GMT	https://www.una.edu/purchasing/staples-online.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/staples-online.html	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:40	28553/28553	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:41%20GMT	https://www.una.edu/purchasing/local-procurement.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/local-procurement.html	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:40	27194/27194	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:41%20GMT	https://www.una.edu/purchasing/forms.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/forms.html	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:41	192612/192612	---M--	200	added ('OK')	application/pdf	etag:%222f064-55d87460c50e4%22	https://www.una.edu/purchasing/docs/Price%20List%20-%20Effective%207-1-2017.pdf	D:/UNA%20WEB/UNA/www.una.edu/purchasing/docs/Price%20List%20-%20Effective%207-1-2017.pdf	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:41	142524/142524	---M--	200	added ('OK')	application/pdf	etag:%2222cbc-55d8742adf7d8%22	https://www.una.edu/purchasing/docs/LETTERHEAD%20ORDER%20FORM.pdf	D:/UNA%20WEB/UNA/www.una.edu/purchasing/docs/LETTERHEAD%20ORDER%20FORM.pdf	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:41	30830/30830	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:42%20GMT	https://www.una.edu/purchasing/order-copy-paper.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/order-copy-paper.html	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:41	204335/204335	---M--	200	added ('OK')	application/pdf	etag:%2231e2f-55d87432b16e2%22	https://www.una.edu/purchasing/docs/Print%20Shop%20Order%20Form%20Fillable.pdf	D:/UNA%20WEB/UNA/www.una.edu/purchasing/docs/Print%20Shop%20Order%20Form%20Fillable.pdf	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:41	164722/164722	---M--	200	added ('OK')	application/pdf	etag:%2228372-55d87434da245%22	https://www.una.edu/purchasing/docs/Supply%20Store%20Order%20Form.pdf	D:/UNA%20WEB/UNA/www.una.edu/purchasing/docs/Supply%20Store%20Order%20Form.pdf	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:43	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Feb%202018%2020:13:43%20GMT	http://www.una.edu/about/images/xproximity-map.png.pagespeed.ic.f8oUc7s7pG.png	D:/UNA%20WEB/UNA/www.una.edu/about/images/xproximity-map.png.pagespeed.ic.f8oUc7s7pG.15.delayed	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:43	14044/14044	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.una.edu/about/images/xproximity-map.png.pagespeed.ic.f8oUc7s7pG.png	D:/UNA%20WEB/UNA/www.una.edu/about/images/xproximity-map.png.pagespeed.ic.f8oUc7s7pG.png	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:43	84380/84380	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202017%2000:30:25%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.4/jquery.min.js	D:/UNA%20WEB/UNA/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.4/jquery.min.js	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:45	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Feb%202018%2020:13:45%20GMT	http://www.una.edu/js/offcanvas.js+nav.js.pagespeed.jc.-X33pZwrWe.js	D:/UNA%20WEB/UNA/www.una.edu/js/offcanvas.js+nav.js.pagespeed.jc.-X33pZwrWe.js	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:45	36816/36816	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202017%2000:35:37%20GMT	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.5/js/bootstrap.min.js	D:/UNA%20WEB/UNA/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.5/js/bootstrap.min.js	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:45	759/759	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	https://www.una.edu/js/offcanvas.js+nav.js.pagespeed.jc.-X33pZwrWe.js	D:/UNA%20WEB/UNA/www.una.edu/js/offcanvas.js+nav.js.pagespeed.jc.-X33pZwrWe.js	(from https://www.una.edu/purchasing/university-print-shop.html)
14:13:46	9775/9775	---M-Z	200	added ('OK')	text/css	etag:W/%22PSA-aj-y7htW1Cz2p%22	https://www.una.edu/css/head.css	D:/UNA%20WEB/UNA/www.una.edu/css/head.css	(from https://www.una.edu/css/A.lion-styles.css.pagespeed.cf.4wc8TQvdXs.css)
14:13:46	166959/166959	---M--	200	added ('OK')	image/jpeg	etag:%225e823dcf25c9f59854324b1d65c2481e%22	https://photos.smugmug.com/Colleges/Education-Human-Sciences/Elementary-Educatioin/Student-Teaching/i-LvhkNfp/0/495e2586/XL/Y47A0065-XL.jpg	D:/UNA%20WEB/UNA/photos.smugmug.com/Colleges/Education-Human-Sciences/Elementary-Educatioin/Student-Teaching/i-LvhkNfp/0/495e2586/XL/Y47A0065-XL.jpg	(from https://www.una.edu/css/A.lion-styles.css.pagespeed.cf.4wc8TQvdXs.css)
14:13:46	20834/20834	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.una.edu/global/images/xhome-admission.jpg.pagespeed.ic._XVBuFDQp-.jpg	D:/UNA%20WEB/UNA/www.una.edu/global/images/xhome-admission.jpg.pagespeed.ic._XVBuFDQp-.jpg	(from https://www.una.edu/purchasing/index.html)
14:13:47	248/248	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Feb%202018%2020:13:47%20GMT	http://www.una.edu/purchasing/bids.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/bids.html	(from https://www.una.edu/purchasing/index.html)
14:13:47	2568/2568	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:48%20GMT	https://www.una.edu/purchasing/bids.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/bids.html	(from https://www.una.edu/purchasing/index.html)
14:13:48	29056/29056	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%227180-55d87460c4e31%22	https://www.una.edu/purchasing/docs/PCARD%20Usage%20Form.xlsx	D:/UNA%20WEB/UNA/www.una.edu/purchasing/docs/PCARD%20Usage%20Form.xlsx	(from https://www.una.edu/purchasing/index.html)
14:13:48	27341/27341	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:49%20GMT	https://www.una.edu/purchasing/budget-codes.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/budget-codes.html	(from https://www.una.edu/purchasing/index.html)
14:13:48	28611/28611	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:13:49%20GMT	https://www.una.edu/purchasing/code-of-ethics.html	D:/UNA%20WEB/UNA/www.una.edu/purchasing/code-of-ethics.html	(from https://www.una.edu/purchasing/index.html)
14:13:49	341931/341931	---M--	200	added ('OK')	application/pdf	etag:%22537ab-55d87430e2f36%22	https://www.una.edu/purchasing/docs/UNA%20Procurement%20Policy.pdf	D:/UNA%20WEB/UNA/www.una.edu/purchasing/docs/UNA%20Procurement%20Policy.pdf	(from https://www.una.edu/purchasing/procurement-policy.html)
14:13:49	282591/282591	---M--	200	added ('OK')	application/pdf	etag:%2244fdf-55d874268e3f5%22	https://www.una.edu/purchasing/docs/University%20Entertainment%20Policy%20rev%203.21.2011.pdf	D:/UNA%20WEB/UNA/www.una.edu/purchasing/docs/University%20Entertainment%20Policy%20rev%203.21.2011.pdf	(from https://www.una.edu/purchasing/procurement-policy.html)
